"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=equidae"
"Access Time","Fri 2017-02-03 06:54:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.211"
"Records Found","5815"
"Records Returned","5815"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"168421","occ","","","15402","Xenicohippus osborni","species","52717","","Xenicohippus osborni","species","52717","Wasatchian","","55.8","50.3","2078"
"168422","occ","","","15402","Xenicohippus sp.","genus","43025","","Xenicohippus","genus","43025","Wasatchian","","55.8","50.3","2078"
"168426","occ","","","15404","Xenicohippus osborni","species","52717","","Xenicohippus osborni","species","52717","Wasatchian","","55.8","50.3","2078"
"168430","occ","","","15406","Xenicohippus cf. grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","2078"
"168508","occ","","","15429","Hyracotherium ? grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","1915"
"168519","occ","30941","","15430","Eohippus angustidens","species","46149","","Eohippus angustidens","species","49415","Wasatchian","","55.8","50.3","53105"
"168568","occ","","","15441","Xenicohippus sp.","genus","43025","","Xenicohippus","genus","43025","Wasatchian","","55.8","50.3","1556"
"168575","occ","1261","","15443","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168601","occ","1268","","15446","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168611","occ","1272","","15447","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168634","occ","1278","","15448","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168639","occ","1280","","15449","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168683","occ","1298","","15451","Equidae indet.","family","42984","","Equidae","family","42984","Lysitean","Lostcabinian","55.8","50.3","6294"
"168702","occ","1308","","15453","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168734","occ","","","15455","Hyracotherium n. sp. pernix","species","47320","recombined as","Arenahippus pernix","species","46158","Wasatchian","","55.8","50.3","1660"
"168746","occ","30956","","15456","Protorohippus cf. venticolum","species","307874","","Protorohippus venticolum","species","47328","Wasatchian","","55.8","50.3","53105"
"168779","occ","1335","","15459","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168785","occ","1336","","15462","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168911","occ","1391","","15481","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"168915","occ","1392","","15483","Hyracotherium index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","6294"
"169041","occ","1445","","15491","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","6294"
"169078","occ","1457","","15493","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","1660"
"169104","occ","","","15495","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169130","occ","","","15503","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169156","occ","1478","","15504","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","1660"
"169181","occ","","","15505","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169217","occ","","","15507","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169247","occ","","","15509","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169287","occ","","","15510","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169291","occ","","","15510","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169316","occ","","","15511","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169338","occ","","","15512","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169341","occ","","","15512","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169364","occ","","","15513","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169382","occ","30948","","15514","Arenahippus grangeri","species","223572","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","53105"
"169414","occ","1543","","15515","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","1660"
"169446","occ","","","15516","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169471","occ","","","15517","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169490","occ","","","15518","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169529","occ","","","15520","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169569","occ","","","15522","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169599","occ","","","15523","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169627","occ","","","15524","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169675","occ","","","15531","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169706","occ","","","15532","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169707","occ","","","15532","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169760","occ","","","15536","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169763","occ","","","15536","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169784","occ","","","15538","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169788","occ","","","15538","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169803","occ","","","15540","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169813","occ","","","15541","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169816","occ","","","15541","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169838","occ","","","15542","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169839","occ","","","15542","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169863","occ","","","15543","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169874","occ","","","15544","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169877","occ","","","15544","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169887","occ","","","15545","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169898","occ","","","15546","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169899","occ","","","15546","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169910","occ","","","15547","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169939","occ","","","15548","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169942","occ","","","15548","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169962","occ","","","15549","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"169964","occ","","","15549","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169975","occ","","","15550","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"169980","occ","","","15551","Hyracotherium cf. index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","3021"
"170002","occ","","","15551","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"170006","occ","","","15551","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
"170054","occ","","","15553","Hyracotherium cf. index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","3021"
"170072","occ","","","15553","Hyracotherium aemulor","species","47307","recombined as","Arenahippus aemulor","species","47307","Wasatchian","","55.8","50.3","3021"
"170075","occ","","","15553","Hyracotherium grangeri","species","47315","recombined as","Sifrhippus grangeri","species","47315","Wasatchian","","55.8","50.3","3021"
