"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=catarrhini"
"Access Time","Fri 2017-02-03 06:56:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","catarrhini"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0433"
"Records Found","675"
"Records Returned","675"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"212508","occ","","","21461","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4469"
"212532","occ","","","21462","Hominidae indet.","family","40899","","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212548","occ","","","21464","Hominidae indet.","family","40899","","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","4469"
"212554","occ","","","21468","Hominidae indet.","family","40899","","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212556","occ","","","21472","Homo sp.","genus","40901","","Homo","genus","40901","Pliocene","Pleistocene","5.333","0.0117","8610"
"212558","occ","","","21472","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","8610"
"212559","occ","","","21473","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212561","occ","","","21475","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212562","occ","","","21475","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Gelasian","","2.588","1.806","8610"
"212564","occ","","","21476","Homo sp.","genus","40901","","Homo","genus","40901","Late Pliocene","Calabrian","3.6","0.781","8610"
"212579","occ","","","21484","Hominidae indet.","family","40899","","Hominidae","family","40899","Piacenzian","","3.6","2.588","8610"
"212584","occ","","","21485","Hominidae indet.","family","40899","","Hominidae","family","40899","Piacenzian","","3.6","2.588","8610"
"212589","occ","","","21490","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","4455"
"212590","occ","","","21492","Homo aff. erectus","species","83084","","Homo erectus","species","83084","Pliocene","Pleistocene","5.333","0.0117","8610"
"212596","occ","","","21495","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212602","occ","","","21498","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","8610"
"212612","occ","","","21502","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","8610"
"212614","occ","","","21503","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212619","occ","","","21504","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212625","occ","","","21507","Hominidae indet.","family","40899","","Hominidae","family","40899","Calabrian","","1.806","0.781","4447"
"212627","occ","","","21508","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212634","occ","","","21510","Hominidae indet.","family","40899","","Hominidae","family","40899","Zanclean","","5.333","3.6","4469"
"212636","occ","","","21513","Hominidae indet.","family","40899","","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4486"
"212638","occ","","","21514","Hominidae indet.","family","40899","","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212639","occ","","","21514","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"212642","occ","","","21515","Hominidae indet.","family","40899","","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212654","occ","","","21520","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212655","occ","","","21520","Hominidae indet.","family","40899","","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212661","occ","","","21520","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"212666","occ","","","21521","Homo sp.","genus","40901","","Homo","genus","40901","Pliocene","Pleistocene","5.333","0.0117","8610"
"212695","occ","","","21523","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212696","occ","","","21523","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212711","occ","","","21525","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","8610"
"212727","occ","","","21528","Hominidae indet.","family","40899","","Hominidae","family","40899","Holocene","","0.0117","0","4757"
"212794","occ","","","21536","Hominidae indet.","family","40899","","Hominidae","family","40899","Piacenzian","","3.6","2.588","8610"
"212836","occ","","","21560","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"212840","occ","","","21572","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"212842","occ","","","21582","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4486"
"213544","occ","","","21854","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5210"
"213610","occ","","","21856","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5211"
"213763","occ","","","21888","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5224"
"213801","occ","","","21891","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5209"
"213859","occ","","","21894","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","5210"
"214033","occ","","","21920","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5213"
"214178","occ","","","21952","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5251"
"214254","occ","","","21962","Australopithecus afarensis","species","83055","subjective synonym of","Praeanthropus africanus","species","83054","Piacenzian","","3.6","2.588","5264"
"214269","occ","","","21968","Hominidae indet.","family","40899","","Hominidae","family","40899","Calabrian","","1.806","0.781","4948"
"217341","occ","","","22174","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Zanclean","Pleistocene","5.333","0.0117","5366"
"217399","occ","","","22177","Homo cf. sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","4442"
"217906","occ","","","22236","Australopithecus cf. africanus","species","83066","","Australopithecus africanus","species","83066","Tortonian","Piacenzian","11.62","2.588","5448"
"218153","occ","","","22267","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Messinian","Calabrian","7.246","0.781","5571"
"218160","occ","","","22267","Hominoidea indet.","superfamily","40883","","Hominoidea","superfamily","40883","Messinian","Calabrian","7.246","0.781","5571"
"218165","occ","","","22267","Cercopithecoidea indet.","superfamily","40859","","Cercopithecoidea","superfamily","40859","Messinian","Calabrian","7.246","0.781","5571"
"218176","occ","","","22268","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Pleistocene","","2.588","0.0117","5562"
"218200","occ","","","22269","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Pliocene","Calabrian","5.333","0.781","5574"
"218227","occ","","","22270","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Pleistocene","","2.588","0.0117","5562"
"218285","occ","","","22272","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Pleistocene","","2.588","0.0117","5569"
"218320","occ","","","22273","Victoriapithecus sp.","genus","40880","","Victoriapithecus","genus","40880","Langhian","","15.97","13.82","5452"
"218326","occ","","","22273","Kalepithecus sp.","genus","143167","","Kalepithecus","genus","143167","Langhian","","15.97","13.82","5452"
"218359","occ","","","22274","Cercopithecoidea indet.","superfamily","40859","","Cercopithecoidea","superfamily","40859","Messinian","","7.246","5.333","5560"
"218383","occ","","","22275","Hominidae indet.","family","40899","","Hominidae","family","40899","Messinian","","7.246","5.333","5579"
"218400","occ","","","22276","Homo sp.","genus","40901","","Homo","genus","40901","Pleistocene","","2.588","0.0117","5576"
"218474","occ","","","22287","aff. Victoriapithecus sp.","genus","40880","","Victoriapithecus","genus","40880","Serravallian","","13.82","11.62","5577"
"218517","occ","","","22300","Pongidae indet.","family","40892","subjective synonym of","Hominidae","family","40899","Serravallian","","13.82","11.62","5579"
"218546","occ","","","22303","Hominoidea indet.","superfamily","40883","","Hominoidea","superfamily","40883","Langhian","Serravallian","15.97","11.62","5569"
"218718","occ","","","22327","Homo rudolfensis","species","83081","","Homo rudolfensis","species","83081","Pliocene","Pleistocene","5.333","0.0117","5481"
"219087","occ","","","22484","Homo sp.","genus","40901","","Homo","genus","40901","Pleistocene","","2.588","0.0117","5616"
"219160","occ","","","22490","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","Calabrian","2.588","0.781","5627"
"219167","occ","","","22491","Homo sp.","genus","40901","","Homo","genus","40901","Gelasian","Calabrian","2.588","0.781","5626"
"219247","occ","","","22499","Homo erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","5627"
"219286","occ","","","22505","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Pliocene","","5.333","2.588","5264"
"219301","occ","","","22506","Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Pliocene","","5.333","2.588","5264"
"219366","occ","","","22509","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5225"
"219489","occ","","","22543","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5225"
"219713","occ","","","22584","Homo erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","5647"
"219882","occ","","","22628","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Early Pleistocene","","2.588","0.781","5653"
"220037","occ","","","22664","Australopithecus afarensis","species","83055","subjective synonym of","Praeanthropus africanus","species","83054","Pliocene","","5.333","2.588","4845"
"220258","occ","","","21340","Ramapithecus wickeri","species","133678","subjective synonym of, species not entered","Sivapithecus","genus","40898","Serravallian","","13.82","11.62","4655"
"220282","occ","","","21340","Limnopithecus legetet","species","40886","species not entered","Limnopithecus","genus","40886","Serravallian","","13.82","11.62","4655"
"220283","occ","","","21340","Proconsul cf. africanus","species","157732","","Proconsul africanus","species","157732","Serravallian","","13.82","11.62","4655"
"220284","occ","","","21340","Proconsul cf. nyanzae","species","157733","","Proconsul nyanzae","species","157733","Serravallian","","13.82","11.62","4655"
"220604","occ","","","21896","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","5227"
"220732","occ","","","21916","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","","2.588","0.0117","5235"
"220777","occ","","","21919","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","5234"
"220794","occ","","","21930","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","5240"
"220864","occ","","","21944","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","5214"
"220869","occ","","","21945","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","5214"
"220920","occ","","","21948","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5246"
"221032","occ","","","21951","Homo sapiens","species","83088","","Homo sapiens","species","83088","Pleistocene","Holocene","2.588","0","5250"
"221369","occ","","","21277","Homo sp.","genus","40901","","Homo","genus","40901","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4430"
"221633","occ","24763","","21338","Equatorius africanus","species","185390","","Equatorius africanus","species","100573","Serravallian","","13.82","11.62","36156"
"221647","occ","","","21339","Ramapithecus wickeri","species","133678","subjective synonym of, species not entered","Sivapithecus","genus","40898","Serravallian","","13.82","11.62","4653"
"221657","occ","","","21339","Victoriapithecus macinnesi","species","135923","","Victoriapithecus macinnesi","species","135923","Serravallian","","13.82","11.62","4653"
"221658","occ","","","21339","Sivapithecus africanus","species","100573","recombined as","Equatorius africanus","species","100573","Serravallian","","13.82","11.62","4653"
"221659","occ","","","21339","Sivapithecus sp.","genus","40898","","Sivapithecus","genus","40898","Serravallian","","13.82","11.62","4653"
"221660","occ","","","21339","Pongidae indet.","family","40892","subjective synonym of","Hominidae","family","40899","Serravallian","","13.82","11.62","4653"
"221661","occ","","","21339","Dryopithecus sp.","genus","40893","","Dryopithecus","genus","40893","Serravallian","","13.82","11.62","4653"
"221769","occ","","","21346","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4454"
"221879","occ","","","21354","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Gelasian","","2.588","1.806","4454"
"221910","occ","","","21360","Homo erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","4454"
"221934","occ","","","21367","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"221952","occ","","","21367","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Late Pliocene","Calabrian","3.6","0.781","8610"
"221978","occ","","","21368","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","4469"
"222022","occ","","","21370","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222034","occ","","","21370","Homo aff. erectus","species","83084","","Homo erectus","species","83084","Late Pliocene","Calabrian","3.6","0.781","8610"
"222042","occ","","","21370","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Late Pliocene","Calabrian","3.6","0.781","8610"
"222093","occ","","","21396","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Early Pleistocene","","2.588","0.781","8610"
"222102","occ","","","21396","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Early Pleistocene","","2.588","0.781","8610"
"222104","occ","","","21396","Homo cf. habilis","species","83082","","Homo habilis","species","83082","Early Pleistocene","","2.588","0.781","8610"
"222154","occ","","","21402","Homo sp.","genus","40901","","Homo","genus","40901","Calabrian","","1.806","0.781","8610"
"222199","occ","","","21403","Australopithecus boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","4469"
"222208","occ","","","21403","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","4469"
"222210","occ","","","21403","Australopithecus cf. boisei","species","83068","","Australopithecus boisei","species","83068","Calabrian","","1.806","0.781","4469"
"222251","occ","","","21413","Homo cf. erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
